organisation,transparency_reg_id,source_type,preproposal_meetings_total,preproposal_meetings_commission,preproposal_meetings_ep,article_type,article_number,article_title,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
MEDEF,43763731235-75,hys_feedback,0,0,0,article,2,Definitions,0.87303,"Establishes definitions for key terms used in the regulation, including 'gatekeeper', 'core platform services', and related concepts.",UNDETECTABLE,"MEDEF explicitly raises the question of how 'gatekeepers' and large platforms should be defined, warning that the definition conditions both the effectiveness of measures and the risk of negative side effects on European companies. The provision directly addresses this concern by establishing the definitions of 'gatekeeper' and 'core platform services'. However, MEDEF does not specify what the definition should or should not include, making it genuinely unclear whether the provision's specific definitional choices satisfy, contradict, or ignore MEDEF's concerns.",2,False
MEDEF,43763731235-75,hys_feedback,0,0,0,article,3,Designation of gatekeepers,0.868054,"Establishes the criteria and quantitative thresholds for designating providers of core platform services as 'gatekeepers', including the notification procedure and the Commission's designation powers.",ALIGNED,"MEDEF explicitly raises the definition of ""grandes plateformes - gatekeepers"" as a prerequisite condition for any regulation, warning that an overly broad definition risks negative side effects on European companies. Article 3 directly responds to this concern by establishing specific, quantitative thresholds (turnover, market capitalisation, active users) and qualitative criteria to define and designate gatekeepers, thereby scoping the regulation to large platforms rather than applying it broadly — which is precisely the directional ask MEDEF was making.",1,False
MEDEF,43763731235-75,hys_feedback,0,0,0,article,4,Review of the status of gatekeepers,0.853141,"Establishes a mechanism for the Commission to review, amend, or repeal gatekeeper designations, including a mandatory review at least every 2 years, and requires publication of an updated list of gatekeepers and their core platform services.",ALIGNED,"MEDEF explicitly advocates that regulation should target only pre-defined ""grandes plateformes – gatekeepers"" and criticises broader approaches that would burden platforms not posing competition problems. Article 4's review mechanism directly serves this goal by ensuring gatekeeper designations are regularly reassessed and can be repealed when facts change, thereby limiting the regulation's scope to those who genuinely qualify. MEDEF also criticises a revision timeline tied to a fixed date (January 2022) as misaligned with the need to act quickly, and Article 4's ongoing and at-least-biennial review process provides a more dynamic, continuous reassessment — consistent with MEDEF's directional preference for a targeted, regularly updated designation framework.",1,False
Microsoft Corporation,0801162959-21,hys_feedback,2,2,0,article,10,Updating obligations for gatekeepers,0.856904,Empowers the Commission to adopt delegated acts to update gatekeeper obligations in Articles 5 and 6 based on market investigations identifying new unfair or contestability-limiting practices.,ALIGNED,"Microsoft explicitly advocated that the regulation must be ""capable of adapting and changing over time to keep pace with innovation in technologies and business practices in digital markets,"" and Article 10 establishes a concrete mechanism for updating gatekeeper obligations over time via delegated acts. Additionally, Microsoft favoured clearly defined ""blacklisted"" practices (rather than case-by-case remedies), which aligns with the provision's approach of updating a defined set of obligations in Articles 5 and 6 through a structured, criteria-based process rather than ad hoc enforcement.",1,False
Microsoft Corporation,0801162959-21,hys_feedback,2,2,0,article,17,Market investigation into new services and new practices,0.856424,"Establishes a market investigation mechanism allowing the Commission to examine whether new services should be added to core platform services or detect new unfair/anti-contestability practices, with a report due within 24 months and potential follow-up legislative or delegated acts.",ALIGNED,"Microsoft explicitly advocates for appropriate procedural safeguards in investigations, including separation of investigative and remedial phases, rights of defence, and guidelines to determine the type of process to follow (e.g., legislative proposal or imposition of remedies). Article 17 establishes a structured market investigation process with a distinct investigative phase (culminating in a public report) before any remedial action (legislative proposal or delegated act), which directly reflects Microsoft's ask for separation of investigative and remedial phases and a process-driven approach to determining outcomes.",1,False
Microsoft Corporation,0801162959-21,hys_feedback,2,2,0,article,2,Definitions,0.866696,"Defines key terms used throughout the regulation, including 'gatekeeper', 'core platform service', and various digital service categories.",NOISE,"The provision is purely definitional, establishing the meaning of terms used in the regulation without taking any concrete regulatory action. Microsoft's position expresses general support for the Commission's initiative and for Option 3 targeting gatekeepers specifically, but does not advocate for any specific definitional choices that this article could be said to satisfy or contradict.",1,False
Microsoft Corporation,0801162959-21,hys_feedback,2,2,0,article,22,Interim measures,0.844598,"Empowers the Commission to order interim measures against a gatekeeper on the basis of a prima facie finding of infringement, in cases of urgency due to risk of serious and irreparable damage.",ALIGNED,"Microsoft explicitly supports ""Option 3, which allows for immediate action against problematic practices,"" which directly corresponds to the interim measures mechanism in Article 22 that enables the Commission to act swiftly against gatekeepers. The provision delivers the kind of targeted, immediate enforcement action Microsoft advocated for, as opposed to slower or broader alternatives.",1,False
Microsoft Corporation,0801162959-21,hys_feedback,2,2,0,article,8,Suspension,0.871495,Establishes a mechanism allowing gatekeepers to request suspension of specific obligations under Articles 5 and 6 where compliance would endanger their economic viability due to exceptional circumstances beyond their control.,NOISE,"Microsoft's submission expresses general support for the Commission's initiative and endorses Option 3 (targeted ex ante regulation of gatekeepers), but does not take any specific position on suspension mechanisms or viability-based exemptions from obligations. The org text contains no directional stance on whether such a suspension mechanism should or should not exist, making it impossible to evaluate alignment or opposition.",1,False
ORANGE,76704342721-41,hys_feedback,2,0,2,article,36,Implementing provisions,0.840857,"Establishes implementing provisions empowering the Commission to adopt implementing acts covering procedural and technical details for various articles of the regulation, including notifications, technical compliance measures, investigation proceedings, and cooperation arrangements.",NOISE,"Orange's position is a general endorsement of the ex ante regulatory framework for gatekeepers and a preference for specific policy options (3a and 3b), with no specific stance on implementing acts or procedural arrangements. The provision deals with technical/procedural implementing measures, which Orange's text does not address at all.",1,False
Oracle,25955391451-88,hys_feedback,0,0,0,article,15,Market investigation for designating gatekeepers,0.87302,"Establishes a market investigation procedure for the Commission to designate providers of core platform services as gatekeepers, including timelines, preliminary findings, and conditions for applying obligations to providers not yet entrenched.",UNDETECTABLE,"Oracle advocates for a clear set of objective criteria for gatekeeper designation, rather than pure case-by-case discretion, and wants the scope limited to companies with exceptional market power. Article 15 establishes a market investigation procedure that involves Commission discretion in designating gatekeepers under Article 3(6), which could be seen as the case-by-case approach Oracle was cautious about — but the provision also operates within the framework of thresholds and criteria set elsewhere (Article 3(2)), making it genuinely unclear whether this satisfies or contradicts Oracle's position on objective criteria versus discretionary designation.",1,False
Oracle,25955391451-88,hys_feedback,0,0,0,article,16,Market investigation into systematic non-compliance,0.872121,"Establishes a market investigation mechanism allowing the Commission to impose behavioural or structural remedies on gatekeepers found to have systematically infringed obligations, with structural remedies only permitted where no equally effective behavioural remedy exists.",OPPOSING,"Oracle explicitly states a preference for a ""blacklist ex ante regulatory framework"" over a framework based on ""tailor-made remedies adopted following a prior assessment of the conduct of the gatekeeper,"" arguing the latter would unduly extend Commission powers. Article 16 establishes precisely the kind of tailor-made remedy mechanism (behavioural or structural) following a market investigation that Oracle argues against as less preferable and potentially overreaching.",1,False
Oracle,25955391451-88,hys_feedback,0,0,0,article,19,Requests for information,0.841877,"Establishes the Commission's power to request information, access to databases and algorithms from undertakings, either by simple request or by decision, including prior to opening a market investigation or proceedings.",NOISE,"Oracle's position focuses on procedural fairness, speed of investigations, standard of proof, and the added value of the NCT over traditional sector inquiries — it does not express any specific stance on the Commission's information-gathering powers or requests for access to databases and algorithms. The org text contains only general support for the Commission's competition goals and broad procedural concerns, with no directional advocacy position on the subject matter of Article 19.",1,False
Oracle,25955391451-88,hys_feedback,0,0,0,article,22,Interim measures,0.843988,"Establishes the Commission's power to order interim measures against a gatekeeper on the basis of a prima facie finding of infringement, in cases of urgency due to risk of serious and irreparable damage.",ALIGNED,"Oracle explicitly endorses the use of interim measures as a tool to achieve speed of intervention in fast-moving digital markets, stating that ""the need for speed could partially be achieved by more aggressive antitrust enforcement and by making use of tools already available to the Commission, such as interim measures."" The provision directly establishes exactly this mechanism — Commission-ordered interim measures — which Oracle advocated for as a means of rapid intervention to prevent irreversible harm.",1,False
Oracle,25955391451-88,hys_feedback,0,0,0,article,25,Non-compliance,0.846313,"Establishes the procedure for the Commission to adopt non-compliance decisions against gatekeepers who fail to meet obligations, including ordering them to cease and desist and provide compliance plans.",ALIGNED,"Oracle explicitly advocates for a blacklist ex ante regulatory framework that is more straightforward to enforce, with EU-level enforcement ensuring consistency and speed of intervention. The provision establishes a concrete enforcement mechanism (non-compliance decisions, cease-and-desist orders) against gatekeepers, which aligns with Oracle's advocacy for robust, active EU-level enforcement of the regulatory framework for gatekeeper platforms.",1,False
Oracle,25955391451-88,hys_feedback,0,0,0,article,30,Right to be heard and access to the file,0.840588,"Establishes the right of gatekeepers and undertakings to be heard, submit observations, access the Commission's file, and have their rights of defence fully respected before the Commission adopts decisions under the DMA.",NOISE,"Oracle's submission expresses general support for the Commission's proposals to address structural competition problems and endorses the need for additional powers, but contains no specific advocacy position regarding procedural rights such as the right to be heard, access to the file, or rights of defence. The org text is a general endorsement without any directional stance on the procedural safeguards established by Article 30.",1,False
Rights International Spain,,hys_feedback,0,0,0,article,23,Commitments,0.856252,"Establishes a commitments mechanism whereby gatekeepers may offer binding commitments to ensure compliance with obligations, and sets conditions for reopening proceedings or rejecting insufficient commitments.",NOISE,"The organisation's text expresses a general welcome for the Commission's regulatory initiative and advocates for recognising platforms as ""fundamental rights gatekeepers"" affecting privacy, data protection, and freedom of expression — it takes no specific position on a commitments mechanism. The org's advocacy is too broad and thematically unrelated to the specific procedural commitments framework established in Article 23 to constitute a directional stance on it.",1,False
Rights International Spain,,hys_feedback,0,0,0,article,38,Review,0.867618,Requires the Commission to periodically evaluate the Regulation and consider whether additional rules or legislative proposals are needed to ensure contestable and fair digital markets.,NOISE,"The organisation's text is a general welcoming statement supporting EU regulatory action on large online platforms, with a broad argument that platforms act as ""fundamental rights gatekeepers"" — but it does not express any specific advocacy position regarding periodic review mechanisms or evaluation clauses. The org's position lacks a directional stance on the subject matter of Article 38 (review and evaluation procedures), making it too general to constitute specific alignment or opposition.",1,False
Rights International Spain,,hys_feedback,0,0,0,article,4,Review of the status of gatekeepers,0.855408,"Establishes a mechanism for the Commission to review, amend, or repeal gatekeeper designations, and requires regular reviews at least every two years to assess whether designated gatekeepers continue to meet the criteria.",NOISE,"The organisation's text expresses a general welcome for the Commission's initiative and argues that large online platforms act as ""fundamental rights gatekeepers"" beyond mere economic gatekeepers — but it does not take any specific stance on the review mechanism for gatekeeper designations established in Article 4. The org's position is a broad framing argument about the scope of the problem, not a directional advocacy position on how or whether gatekeeper status should be periodically reviewed or revised.",1,False
Rights International Spain,,hys_feedback,0,0,0,article,9,Exemption for overriding reasons of public interest,0.865104,"Establishes a mechanism allowing the Commission to exempt gatekeepers from specific obligations under Articles 5 and 6 on grounds of public morality, public health, or public security, including provisional suspension of obligations.",NOISE,"The organisation's text expresses a general position that large online platforms act as ""fundamental rights gatekeepers"" affecting privacy, data protection, and freedom of expression, but does not take any specific stance on exemption mechanisms or grounds for suspending gatekeeper obligations. The org text is a broad framing statement welcoming the Commission's initiative, with no directional advocacy position on the subject matter of Article 9.",1,False
"The Danish Ministry of Industry, Business and Financial Affairs",,hys_feedback,0,0,0,article,30,Right to be heard and access to the file,0.843865,"Establishes the right of gatekeepers and undertakings to be heard before the Commission adopts decisions, including access to the file and a minimum 14-day period to submit observations.",NOISE,"The organisation's text contains only general endorsements of the Commission's initiative, support for a European approach, and broad statements about legal certainty and avoiding fragmentation — no specific advocacy position on procedural rights, the right to be heard, or access to the file. This is boilerplate support without any directional stance that could be evaluated against the provision.",1,False
"The Danish Ministry of Industry, Business and Financial Affairs",,hys_feedback,0,0,0,article,32,Digital Markets Advisory Committee,0.842721,"Establishes the Digital Markets Advisory Committee to assist the Commission, defining its procedural rules including written procedure termination, communication of opinions, and applicable regulatory framework.",NOISE,"The Danish Government's submission contains only general endorsements of EU-level action on digital markets and support for avoiding regulatory fragmentation, with no specific advocacy position on the creation or structure of an advisory committee. The org text expresses broad support for a European approach without any directional stance on the governance or procedural mechanisms such as the Digital Markets Advisory Committee.",1,False
"Tilburg Law & Economics Center, Tilburg University",,hys_feedback,0,0,0,article,1,Subject-matter and scope,0.874,"Establishes the subject matter and scope of the Digital Markets Act, defining that it lays down harmonised rules for contestable and fair markets where gatekeepers are present, and delimiting its application to core platform services while preserving the application of competition law (Articles 101 and 102 TFEU).",UNDETECTABLE,"The organisation specifically calls for greater precision regarding the range of policy objectives the initiative seeks to address — including what ""fairness"" means and whether concerns beyond competition policy (e.g. diversity of information exposure) are in scope. Article 1 does establish the scope and objectives of the regulation (contestable and fair markets, relationship to competition law), which directly responds to the subject of the org's concern. However, it is genuinely unclear whether the provision's level of specificity satisfies the org's call for more precision, or whether the org would find it still insufficiently defined — making the direction of alignment ambiguous.",1,False
"Tilburg Law & Economics Center, Tilburg University",,hys_feedback,0,0,0,article,17,Market investigation into new services and new practices,0.853581,"Empowers the Commission to conduct market investigations to add new services to the list of core platform services or detect new unfair/anti-contestability practices not covered by the Regulation, with a report due within 24 months.",NOISE,"The org text calls for greater precision in defining the policy objectives (e.g., fairness, diversity) of the initiative, but does not take any specific directional stance on whether market investigations into new services or practices should exist, how they should be structured, or what their scope should be. The commentary is general and contextual, asking for clarification rather than advocating for or against any concrete mechanism like the one established in Article 17.",1,False
"Tilburg Law & Economics Center, Tilburg University",,hys_feedback,0,0,0,article,2,Definitions,0.868883,"Establishes definitions for key terms used in the Regulation, including 'gatekeeper', 'core platform service', and various digital service categories.",NOISE,"The org's position calls for greater precision in the policy objectives of the initiative (e.g., clarifying what ""fairness"" means and the range of harms addressed), but does not advocate for any specific definitional choices. The provision is a purely definitional article listing terms and their meanings, and the org text contains no directional stance on how any of these terms should be defined.",1,False
"Tilburg Law & Economics Center, Tilburg University",,hys_feedback,0,0,0,article,7,Compliance with obligations for gatekeepers,0.873544,"Establishes a compliance framework where gatekeepers must implement effective measures to meet their obligations, and grants the Commission power to specify those measures by decision if they are found insufficient, including proportionality and effectiveness requirements.",NOISE,"The organisation's text focuses on enforcement model questions (centralised vs. decentralised, national authorities, competition law immunity thresholds) rather than on the specific compliance specification mechanism that Article 7 establishes. While there is a broad thematic overlap with regulatory design, the org does not take a specific directional stance on whether the Commission should have the power to specify compliance measures by decision or on the proportionality/effectiveness criteria in Article 7 — making the connection too general to constitute specific alignment or opposition.",1,False
UNI Europa - The European Services Workers Union,43785827982-59,hys_feedback,0,0,0,article,38,Review,0.862308,Establishes a periodic review mechanism requiring the Commission to evaluate the Regulation every three years and consider whether additional rules or legislative proposals are needed to ensure contestable and fair digital markets.,NOISE,"The organisation's position specifically advocates for recognising platform workers' rights and employer responsibilities within the DSA framework, with no substantive stance on the review/evaluation mechanism itself. The provision establishes a periodic review process focused on market contestability and fairness, which does not engage with the worker dimension UNI Europa advocates for.",1,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,1,Subject-matter and scope,0.87387,"Establishes the subject matter and scope of the Digital Markets Act, applying harmonised rules to ensure contestable and fair markets where gatekeepers are present, covering core platform services provided to users in the Union, while preempting additional Member State obligations and preserving existing competition law frameworks.",ALIGNED,"The organisation explicitly advocates for a horizontal, principles-based ex ante regulation targeting gatekeeper platforms operating across markets and sectors — precisely what Article 1 establishes as the subject matter and scope of the Regulation. The org's call for a broad horizontal rule covering all sectors and addressing gatekeeper conduct in multi-sided markets directly corresponds to the provision's establishment of harmonised rules applicable to gatekeepers across the Union's digital sector.",3,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,10,Updating obligations for gatekeepers,0.863877,"Empowers the Commission to adopt delegated acts to update gatekeeper obligations based on market investigations, addressing practices that limit contestability or are unfair in digital markets.",ALIGNED,"The org explicitly calls for bold and decisive EU-level action to ensure fair and contestable digital markets, advocating for ex-ante regulation (policy options 3a and 3b) to address gatekeeper platforms. The provision directly responds to this by establishing a mechanism for the Commission to update gatekeeper obligations to address unfair or contestability-limiting practices — concrete regulatory action in exactly the direction the org advocated for.",2,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,11,Anti-circumvention,0.862468,"Requires gatekeepers to fully and effectively comply with their obligations under Articles 5 and 6, prohibiting circumvention through any contractual, commercial, technical or other behaviour, and preventing degradation of services for users who exercise their rights.",ALIGNED,"The vzbv explicitly advocates for a principles-based approach that prohibits unfair conduct by gatekeeper platforms and covers all relevant behaviour across markets, including a ""blacklist"" of prohibited conduct broad enough to catch all relevant conduct. Article 11's anti-circumvention provision directly operationalises this by ensuring that gatekeeper obligations cannot be undermined through any form of behaviour (contractual, commercial, technical or otherwise), which aligns with the org's call for comprehensive, effective prohibitions on gatekeeper conduct that cannot be evaded.",2,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,12,Obligation to inform about concentrations,0.848087,"Requires gatekeepers to notify the Commission of any intended concentration involving another provider of core platform services or digital sector services, including details on turnover, user numbers, and rationale, regardless of whether it meets standard merger notification thresholds.",NOISE,"The org's position focuses on criteria for identifying gatekeeper platforms and enforcement coordination with national authorities, not on merger/concentration notification obligations. While both relate to the broader DMA/ex-ante regulation framework, the org text expresses no specific advocacy position on the obligation to inform the Commission about concentrations, making the connection too remote to constitute substantive alignment or opposition.",1,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,15,Market investigation for designating gatekeepers,0.872651,"Establishes a market investigation procedure for the Commission to designate providers of core platform services as gatekeepers, including timelines and preliminary findings requirements.",NOISE,"The organisation's text expresses only a general call for bold EU action and endorses ex-ante regulation policy options to address gatekeeper platforms, without taking any specific stance on the market investigation procedure, designation timelines, or preliminary findings mechanisms that Article 15 establishes. This is a general endorsement of EU initiative without a directional position specific enough to evaluate against this provision.",1,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,16,Market investigation into systematic non-compliance,0.874015,"Establishes a mechanism for the Commission to impose behavioural or structural remedies on gatekeepers found to have systematically infringed obligations under Articles 5 and 6, following a market investigation.",ALIGNED,"The org explicitly advocates for EU-level enforcement of ex ante regulation by a European regulatory authority with the power to impose and enforce rules on large online platforms. Article 16 directly delivers on this by empowering the Commission (an EU-level authority) to conduct market investigations and impose binding remedies — including structural ones — on gatekeepers for systematic non-compliance, which is a concrete enforcement mechanism at EU level consistent with what the org called for.",2,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,2,Definitions,0.862981,"Defines key terms used throughout the Digital Markets Act regulation, including 'gatekeeper', 'core platform service', 'end user', 'business user', and other relevant concepts.",NOISE,"The provision is purely definitional, establishing the meaning of terms used in the regulation without taking any concrete regulatory action or stance. The org's position is a general endorsement of the ex ante regulatory instrument for large online gatekeepers, with no specific advocacy position on how key terms should be defined — making this a case of general support without a directional stance on the provision's subject matter.",1,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,22,Interim measures,0.848603,"Empowers the Commission to order interim measures against a gatekeeper on the basis of a prima facie infringement finding, in cases of urgency due to risk of serious and irreparable damage to business or end users.",ALIGNED,"The org explicitly warns that enforcement mechanisms based on individual cases can ""take an unacceptably long time to have any meaningful impact on the market while harm to competition and consumers persists."" Article 22's interim measures provision directly addresses this concern by allowing the Commission to act swiftly — before a full non-compliance decision — when there is urgency and risk of serious, irreparable damage, thereby mitigating the very delay problem the org identified as a key downside of case-by-case enforcement.",1,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,23,Commitments,0.857518,"Establishes a commitments mechanism whereby gatekeepers can offer binding commitments to ensure compliance with obligations, allowing the Commission to close proceedings if commitments are accepted, with provisions for reopening proceedings if circumstances change or commitments are breached.",UNDETECTABLE,"The org advocates for a combination of blacklisted practices (3a) and tailor-made case-by-case remedies (3b), emphasising robust enforcement to effectively terminate harmful practices. The commitments mechanism in Article 23 could be seen as part of the case-by-case remedy toolbox (aligned with 3b), but the org's emphasis on ""proactive rules and robust enforcement"" raises a question of whether a commitments-based closure of proceedings — which may fall short of a full enforcement decision — satisfies their demand for robust action. The connection to the org's position is real but the direction (does this mechanism constitute the robust enforcement they sought, or does it undermine it?) is genuinely ambiguous.",1,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,25,Non-compliance,0.850114,"Establishes the procedure for the Commission to adopt non-compliance decisions against gatekeepers that fail to meet obligations, including ordering them to cease and desist and provide compliance plans.",ALIGNED,"The vzbv explicitly advocates for a combined approach featuring a blacklist of prohibited practices (obligations) alongside a case-by-case enforcement mechanism to stop unfair gatekeeper practices. Article 25 establishes the concrete enforcement/non-compliance mechanism that operationalises exactly this — enabling the Commission to act against gatekeepers that breach the obligations laid down in Articles 5 and 6 (the blacklist) or case-specific measures, ordering them to cease and desist. This directly responds to the org's call for effective enforcement action against unfair gatekeeper practices.",3,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,26,Fines,0.849522,"Establishes fines of up to 10% of total turnover for gatekeepers that fail to comply with obligations, and up to 1% for procedural infringements such as failing to provide information.",NOISE,"The org's text discusses the relative merits and downsides of different policy options (blacklist-based vs. individual case enforcement) at a high level, without taking a specific directional stance on the level, structure, or existence of fines. The org does not advocate for or against any particular fine regime, so there is no specific advocacy position that can be evaluated against this provision on fines.",1,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,3,Designation of gatekeepers,0.866697,"Establishes the criteria and quantitative thresholds for designating providers of core platform services as gatekeepers, including a notification and Commission designation procedure.",ALIGNED,"The organisation explicitly calls for bold EU-level ex-ante regulation targeting gatekeeper platforms to address the insufficiency of current competition rules, advocating for policy options 3a and 3b. Article 3 directly delivers this by creating a concrete gatekeeper designation mechanism — the very regulatory instrument the organisation advocated for — making this a clear case of alignment under path (b).",3,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,32,Digital Markets Advisory Committee,0.841746,"Establishes the Digital Markets Advisory Committee to assist the Commission, defining its procedural rules for opinions and their communication alongside individual decisions.",NOISE,"The org's position focuses on advocating for a combination of blacklisted practices and case-by-case remedies for gatekeeper platforms, with robust enforcement. Article 32 is a procedural provision establishing an advisory committee and its operating rules, which has no substantive connection to the org's specific policy advocacy on enforcement approaches and prohibited practices.",1,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,36,Implementing provisions,0.842836,"Establishes implementing provisions empowering the Commission to adopt acts concerning procedural and technical details for notifications, investigations, hearings, and cooperation arrangements under the Digital Markets Act.",NOISE,"The org's position advocates for a combination of blacklisted practices (policy option 3a) and tailor-made case-by-case remedies (policy option 3b) with robust enforcement, which is a substantive policy stance on the regulatory framework. The provision, however, deals purely with procedural implementing acts (forms, deadlines, practical arrangements) and does not address the substantive question of which policy options or enforcement mechanisms should be adopted. There is no meaningful connection between the org's advocacy and this procedural provision.",3,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,38,Review,0.871926,Requires the Commission to periodically evaluate the Regulation and consider whether additional rules or legislative proposals are needed to ensure contestable and fair digital markets.,NOISE,"The org's position focuses specifically on EU-level enforcement structures, a European regulatory body, and avoiding fragmentation — not on periodic review or evaluation mechanisms. The provision establishes a review/evaluation cycle, which is not addressed by the org's advocacy, making the subjects effectively unrelated for classification purposes.",1,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,5,Obligations for gatekeepers,0.86754,"Establishes a list of specific obligations (blacklist) that gatekeepers must comply with, including prohibitions on combining personal data without consent, restrictions on self-preferencing, and requirements for transparency in advertising.",ALIGNED,"The org explicitly advocates for a ""blacklist-based policy approach"" (policy option 3a.) with clear, enumerated obligations and prohibitions on unfair conduct by gatekeeper platforms, including specific mention of advertising rules and self-preferencing. Article 5 directly delivers this by establishing a concrete blacklist of prohibited and required conduct for gatekeepers, acting precisely in the direction the org advocated for.",2,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,6,Obligations for gatekeepers susceptible of being further specified,0.865566,"Article 6 establishes a list of specific behavioural obligations for gatekeepers, including prohibitions on self-preferencing, data use restrictions, interoperability requirements, data portability, and access obligations for business users and third parties.",ALIGNED,"The organisation explicitly advocates for a principles-based approach with a clear blacklist of prohibited conduct for gatekeepers, specifically calling for the prohibition of intra-platform self-preferencing and sector-specific rules for advertising, operating systems, and app stores. Article 6 directly delivers this by establishing a concrete list of obligations and prohibitions for gatekeepers — including self-preferencing bans (Art. 6(1)(d)), app store access rules (Art. 6(1)(k)), and operating system interoperability (Art. 6(1)(c)) — acting squarely in the direction the organisation advocated for.",2,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,7,Compliance with obligations for gatekeepers,0.873461,"Establishes a compliance specification mechanism whereby the Commission can assess and, by decision, specify the measures gatekeepers must implement to effectively comply with their obligations under Article 6, including procedural timelines and proportionality requirements.",ALIGNED,"The org explicitly advocates for EU-level enforcement of Ex Ante Regulation by a European regulatory authority, arguing that large online platforms operating at European/global scale require centralized enforcement. Article 7 directly operationalizes this by granting the Commission (an EU-level authority) the power to assess and specify compliance measures for gatekeepers, which is a concrete step in the direction the org advocated for — EU-level regulatory enforcement of ex ante obligations.",4,False
Verbraucherzentrale Bundesverband - vzbv (Federation of German Consumer Organisations),2893800753-48,hys_feedback,2,2,0,article,8,Suspension,0.870261,Establishes a mechanism allowing gatekeepers to request suspension of specific obligations under Articles 5 and 6 where compliance would endanger their economic viability due to exceptional circumstances.,NOISE,"The org's position focuses on advocating for EU-level enforcement of ex ante regulation, avoiding fragmentation, and establishing a European regulatory body — it does not express any specific stance on suspension mechanisms for gatekeepers. There is no substantive advocacy position in the org text that relates to the suspension procedure established by this provision.",1,False
Vodafone Group ,,hys_feedback,0,0,0,article,15,Market investigation for designating gatekeepers,0.873229,"Establishes a market investigation procedure for the Commission to designate providers of core platform services as gatekeepers, including timelines and preliminary findings requirements.",UNDETECTABLE,"Vodafone expresses concern that user-number thresholds are too blunt for gatekeeper designation and recommends a harm-based test instead, while also asking questions about how designation would be conducted. The provision establishes a market investigation procedure for gatekeeper designation but does not clearly address whether the designation criteria are harm-based or threshold-based in the way Vodafone advocates. There is a genuine connection to the designation process, but it is unclear whether this procedural mechanism satisfies, contradicts, or ignores Vodafone's specific ask for a harm-focused designation test.",1,False
Vodafone Group ,,hys_feedback,0,0,0,article,16,Market investigation into systematic non-compliance,0.871421,"Establishes a mechanism for the Commission to impose behavioural or structural remedies on gatekeepers found to have systematically infringed obligations under Articles 5 and 6, defining the conditions and procedures for such market investigations.",NOISE,"Vodafone's text expresses general support for a flexible ex ante regulatory framework targeting gatekeepers and raises procedural questions (e.g., who designates gatekeepers, how remedies are set and enforced), but does not take a specific directional stance on the mechanism of systematic non-compliance investigations or the imposition of structural/behavioural remedies. The comments are largely exploratory questions and broad endorsements of a framework concept, without a specific advocacy position that can be evaluated against this provision's concrete action.",1,False
Vodafone Group ,,hys_feedback,0,0,0,article,23,Commitments,0.8586,"Establishes a commitments mechanism whereby gatekeepers can offer binding commitments to ensure compliance with obligations, and sets conditions under which the Commission may reopen proceedings or decline to make commitments binding.",NOISE,"Vodafone's pre-proposal text focuses on the scope and definition of gatekeepers, the flexibility of regulatory frameworks, and the blacklist approach — it does not express any specific advocacy position on a commitments mechanism or the procedural rules for how gatekeepers can offer remedies. There is no substantive stance in the org text that relates to what Article 23 establishes.",1,False
